Category,Location,Cost,Rate,Area,Facing,Status,Floor,Furnishing,Ownership,Bathroom,Owner_name
4 BHK Apartment / Flat for Sale,"Vasant Vihar, New Delhi",8Cr,"@200,000/Sq",400,East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,5,Anchit Sethi (Owner)
3 BHK Apartment / Flat for Sale,"GH 13 Paschim Vihar, New Delhi",1.7Cr,"@14,167/Sq",1200,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Harpreet Singh (Admin)
2 BHK Apartment / Flat for Sale,"GH 13 Paschim Vihar, New Delhi",1.25Cr,"@10,417/Sq",1200,North-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Rohit (Agent)
3 BHK Apartment / Flat for Sale,"Dwarka Sector 7, New Delhi",85Lac,"@6,538/Sq",1300,North,Under Construction,Ground of 3 Floor,Unfurnished,Co-Operative Society,2,Vipul Mehta (Builder)
3 BHK Apartment / Flat for Sale,"Karampura, New Delhi",1.78Cr,"@11,259/Sq",1581,North-East,Ready to Move,10th of 26 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.81Cr,"@21,531/Sq",2234,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Chirag Delhi, New Delhi",45Lac,"@56,250/Sq",80,South,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Asha Kadwal (Owner)
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.82Cr,"@21,576/Sq",2234,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
3 BHK Apartment / Flat for Sale,"New Friends Colony, New Delhi",3.5Cr,"@140,000/Sq",250,South-East,Ready to Move,Ground of 4 Floor,Semi Furnished,Freehold,3,Bhasin (Agent)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@12,000/Sq",1000,East,Ready to Move,3rd of 4 Floor,Fully Furnished,Freehold,2,Harpreet singh (Agent)
