Category,Location,Cost,Rate,Area,Facing,Status,Floor,Furnishing,Ownership,Bathroom,Owner_name
2 BHK Apartment / Flat for Sale,"GH 13 Paschim Vihar, New Delhi",1.25Cr,"@10,417/Sq",1200,North-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Rohit (Agent)
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.81Cr,"@21,531/Sq",2234,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Chirag Delhi, New Delhi",45Lac,"@56,250/Sq",80,South,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Asha Kadwal (Owner)
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.82Cr,"@21,576/Sq",2234,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@12,000/Sq",1000,East,Ready to Move,3rd of 4 Floor,Fully Furnished,Freehold,2,Harpreet singh (Agent)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@10,000/Sq",1200,South-East,Ready to Move,4th of 4 Floor,Semi Furnished,Freehold,2,Harpreet singh (Agent)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.6Cr,"@13,333/Sq",1200,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,3,Harpreet singh (Agent)
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq",1387,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Govindpuri Main, New Delhi",30Lac,"@3,333/Sq",900,East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Asha Kadwal (Owner)
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.49Cr,"@20,098/Sq",2234,North-East,Under Construction,18th of 29 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq",1387,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq",1387,North-East,Ready to Move,6th of 26 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq",1387,North-East,Ready to Move,3rd of 26 Floor,Semi Furnished,Freehold,2,krishna shukla (Agent)
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq",1387,North-East,Ready to Move,13th of 26 Floor,Semi Furnished,Freehold,2,utkarsh (Agent)
2 BHK Apartment / Flat for Sale,"Keshav Puram, New Delhi",15Lac,"@3,000/Sq",500,North,Ready to Move,1st of 4 Floor,Semi Furnished,Power of Attorney,2,DG (Owner)
2 BHK Apartment / Flat for Sale,"Chirag Delhi, New Delhi",12Lac,"@30,000/Sq",40,South,Ready to Move,1st of 3 Floor,Semi Furnished,Power of Attorney,1,Asha Kadwal (Owner)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.35Cr,"@11,250/Sq",1200,South-East,Ready to Move,1st of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
2 BHK Apartment / Flat for Sale,"Dwarka Sector 12, New Delhi",1.15Cr,"@10,455/Sq",1100,East,Ready to Move,3rd of 10 Floor,Unfurnished,Freehold,2,Deepak Handa (Agent)
2 BHK Apartment / Flat for Sale,"Connaught Place, New Delhi",4Cr,"@27,586/Sq",1450,North-East,Ready to Move,4th of 10 Floor,Unfurnished,Leasehold,3,Raghwendra (Agent)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",85Lac,"@11,333/Sq",750,East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Vibhor kumar (Agent)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",1.55Cr,"@15,500/Sq",1000,East,Ready to Move,2nd of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
2 BHK Apartment / Flat for Sale,"Dwarka Mor, New Delhi",85Lac,"@136,568/Sq",62.24,East,Ready to Move,Ground of 1 Floor,Fully Furnished,Freehold,2,Abhishek Jha (Owner)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.45Cr,"@12,083/Sq",1200,North,Ready to Move,Ground of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",95Lac,"@7,917/Sq",1200,East,Ready to Move,3rd of 3 Floor,Semi Furnished,Freehold,2,Harpreet singh (Agent)
